"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"USHAMART","Usha Martin Limited","7(2)","PETERHOUSE INVESTMENTS LIMITED","Promoters","Equity Shares","8304919","2.73",,"125000","11171750","Sell","Equity Shares","8179919","2.68","09-Dec-2021","09-Dec-2021","10-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Dec-2021 21:12","https://archives.nseindia.com/corporate/xbrl/IT_1116850_570001_11122021091222_WEB.xml"
"CYBERTECH","Cybertech Systems And Software Limited","7(2)","RAMASUBRAMANIAN SANKARAN","Director","Equity Shares","200000","0.71",,"70315","12060872","Sell","Equity Shares","129685","0.46","08-Dec-2021","10-Dec-2021","11-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Dec-2021 21:03","https://archives.nseindia.com/corporate/xbrl/IT_1116847_569998_11122021090328_WEB.xml"
"TIRUPATI","Shree Tirupati Balajee FIBC Limited","7(2)","Sunita Agrawal","Promoter Group","Equity Shares","93504","0.92",,"30000","1233300","Buy","Equity Shares","123504","1.22","10-Dec-2021","10-Dec-2021","11-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","11-Dec-2021 18:07","https://archives.nseindia.com/corporate/xbrl/IT_1116845_569956_11122021060708_WEB.xml"
"BHAGERIA","Bhageria Industries Limited","7(2)","SNEHLATA","Promoter Group","Equity Shares","321488","0.74",,"533","138163","Buy","Equity Shares","322021","0.74","09-Dec-2021","09-Dec-2021","11-Dec-2021","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","11-Dec-2021 17:02","https://archives.nseindia.com/corporate/xbrl/IT_1116843_569937_11122021050241_WEB.xml"
"GANESHBE","Ganesh Benzoplast Limited","7(2)","Susram Financial Services & Realty Pvt Ltd.","Promoters","Equity Shares","10925555","17.52",,"60000","5940600","Buy","Equity Shares","10985555","17.61","10-Dec-2021","10-Dec-2021","11-Dec-2021","Market Purchase","-","-","0","0","0","0","BSE","-","11-Dec-2021 15:39","https://archives.nseindia.com/corporate/xbrl/IT_1116841_569891_11122021033940_WEB.xml"
"GANESHBE","Ganesh Benzoplast Limited","7(2)","Susram Financial Services & Realty Pvt Ltd.","Promoters","Equity Shares","10555555","16.93",,"370000","33226000","Buy","Equity Shares","10925555","17.52","09-Dec-2021","09-Dec-2021","09-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","11-Dec-2021 15:39","https://archives.nseindia.com/corporate/xbrl/IT_1116841_569891_11122021033940_WEB.xml"
"INTLCONV","International Conveyors Limited","7(2)","I G E (India) Private Limited","Promoters","Equity Shares","22152596","32.82",,"27312","1836732","Buy","Equity Shares","22179908","32.86","08-Dec-2021","08-Dec-2021","10-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","11-Dec-2021 13:19","https://archives.nseindia.com/corporate/xbrl/IT_1116838_569847_11122021011930_WEB.xml"
"CMMIPL","CMM Infraprojects Limited","7(2)","SAMTA MUNDRA","Promoters","Equity Shares","240000","1.53",,"4067268","0","Buy","Equity Shares","4307268","27.48","09-Dec-2021","09-Dec-2021","10-Dec-2021","Gift","-","-","0","0","0","0","NA","-","11-Dec-2021 13:12","https://archives.nseindia.com/corporate/xbrl/IT_1116836_569842_11122021011202_WEB.xml"
"CMMIPL","CMM Infraprojects Limited","7(2)","KISHAN MUNDRA","Promoters","Equity Shares","6936920","44.25",,"4067268","0","Sell","Equity Shares","2869652","18.3","09-Dec-2021","09-Dec-2021","10-Dec-2021","Gift","-","-","0","0","0","0","NA","-","11-Dec-2021 13:12","https://archives.nseindia.com/corporate/xbrl/IT_1116836_569842_11122021011202_WEB.xml"
"EMAMIREAL","Emami Realty Limited","7(2)","Midkot Investments Private Limited","Promoter Group","Equity Shares","Nil","0",,"36143","0","Buy","Equity Shares","36143","0.1","09-Dec-2021","09-Dec-2021","10-Dec-2021","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","11-Dec-2021 13:09","https://archives.nseindia.com/corporate/xbrl/IT_1116835_569839_11122021010922_WEB.xml"
